ranking,copied_node,new_fees,delta,perc_delta
0,030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,0,-2980196,-100.0
1,0340cfadaa3324e0dd176a9969be050114278f93260e1b6333bd2a2a2ea03c64a3,3696366,716170,24.030969775142307
2,03ac61c971d146787a036f75e80a9fbede238a75d0c396f1fe996def00f0ac5dbe,4312705,1332509,44.71212631652415
3,033dee9c6a0afc40ffd8f27d68ef260f3e5e1c19e59c6f9bb607fb04c1d497a809,2326228,-653968,-21.94379161639033
4,0285d50bc04a6a7eaeb37c4964d5f1322b1136c8cea2f242d3c52302226043cbe4,3051129,70933,2.3801454669424427
5,02d695b01c7a6909e716c863fb39bc5fb7bbdc3824b7fdce53adc593e5be080e73,2448046,-532150,-17.856208115170947
6,037f66e84e38fc2787d578599dfe1fcb7b71f9de4fb1e453c5ab85c05f5ce8c2e3,1529837,-1450359,-48.666564212555144
7,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,2509258,-470938,-15.802249248036036
8,02607c9c92b7fa405dd27d8114d5ba1e6c04bf8757bef18b3649bffa2691d7638c,3204791,224595,7.536249293670617
9,023d49fd88692d4d1f366ee8ffa9dfe979c2266b036b440928e86cf3abe28d1894,3367012,386816,12.979548996106296
