node,total_fee,capacity
03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f,95070,182644557
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,232,816357244
03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,8220,248204718
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,184220,813672387
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,762,2528868930
03aedc5302d3fa4c33eb84f98287a78268d0cdfa70624f7708664264880f6b482c,18,1663067
02da8d5a759ee9e4438da617cfdb61c87f723fb76c4b6371b877d0347abe953a4f,5023,32453369
037667a61f11bdfd28a04c8c2031c388ff8cc52d00a87e62910bf03e1667312d64,4018,47544909
037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420,6065,130707358
0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174,1017,143166468
03ca94b753c01471b88bb16ca26bfb17c5ac13bd8ff177cb4865101ac11e7b510a,3,905976
03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258,2023,404931803
031feee8045899c658eec2b6f2f6da6e4bdd7baabdc61bdc017761577342fbd011,2000,42765660
0360e94b6a5ba69e9349ea1077890b6384a4b9e6368e100316d85e22a534f552a8,2,6462349
02fcc4b0a87749b022f05568d5ef893b7893bcbaa99276bbbb55d9e9abc1bdced0,8,35181180
0269b91661812bae52280a68eec2b89d38bf26b33966441ad70aa365e120a125ff,4020,54204579
029d1074c714ddb3496c9ca8a5e5fa37b35163d59fc93e2fd8e083bb62be3c7bb3,5,23783842
0256e4c629fb563485762666512d3c1f3d8bb58ba39021aedfadc9c89592b22180,3,2776344
03842a085b8b89da9db708b83aae8e9baff7a0a6f34368a439aa8d2ca3e408a662,2000,9950208
032b71cc07ea5ff346e7ce9eddad0b55d7e18b788a1e6b4dda3fbd3a7ddbf79bbc,2,18362896
024bda1ec91b277d311aa60d04b1fb856efcc7897c876746b680c1f985fe973f73,3,35116081
0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6,1000,82999578
0325d3075b0ee0a3630d623d0fcc6ca5cdc0bdcdaf6e6e813e1be02b4e5e246ce2,2,2703578
0370373fd498ffaf16dc0cf46250c5dae76fd79b0592254bf26fa74de815898a21,3000,27608121
03a2b9adc3086b0ba7844bcda0159f11967e5558e430f168ee7ee797cb9830d742,2000,12524174
02c16cca44562b590dd279c942200bdccfd4f990c3a69fad620c10ef2f8228eaff,1,87907832
02ccf167c482cbcd41c9a3ff3fe05504368db8911319d7851186b097a509d912c0,1,81608640
03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b,2000,61431531
033aa93d8abed5a070efd69e1119351eed005b3af4c0de43db350adc2278c914d5,1000,42722147
03345d99a94e2fc8a69698f8bbec6bea5a4e8dbaf8b313085bb9710f6014765e45,1,42579884
030b04c5d37b8cb3acd324edefed38e170d355c8f0953718307b894321d576615f,1,34462250
020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b,2000,243227353
